season,driver,team,wins,podiums,dnfs,constructor_rank,points,champion
2025,Norris,McLaren,11,17,2,1,396,0
2025,Piastri,McLaren,7,14,2,1,274,0
2025,Verstappen,Redbull,6,13,1,3,371,0
2025,Russell,Mercedes,2,9,0,2,301,0
2025,Leclerc,Ferrari,0,7,3,4,226,0
2025,Hamilton,Ferrari,0,0,3,4,152,0
